X,Y,trajectory_id,t
150.67701605925015,-33.722892598558296,1,1
150.67701676475352,-33.722892441492604,1,2
150.67701746187265,-33.72289227943284,1,3
150.67701817151115,-33.722892107535245,1,4
150.67701888314494,-33.72289192829303,1,5
150.67701958625676,-33.72289174458536,1,6
150.67702030226903,-33.72289155079922,1,7
150.6770210204677,-33.72289134954732,1,8
150.67702172973387,-33.722891143891765,1,9
150.67702245094122,-33.72289092755909,1,10
150.6770231725704,-33.722890703644985,1,11
150.6770238830842,-33.72289047574163,1,12
150.6770246034082,-33.72289023700795,1,13
150.67702532241788,-33.72288999084841,1,14
150.67702602932292,-33.722889741066425,1,15
150.6770267455343,-33.7228894800532,1,16
150.67702745998466,-33.7228892115578,1,17
150.67702816031098,-33.722888939917055,1,18
150.67702886266392,-33.72288865738017,1,19
150.6770295530242,-33.72288836840731,1,20
150.6770302230392,-33.7228880773913,1,21
150.6770308942555,-33.72288777541079,1,22
150.6770315574066,-33.722887466739955,1,23
150.67703220392374,-33.72288715604479,1,24
150.67703285430386,-33.72288683388183,1,25
150.67703349952296,-33.72288650490069,1,26
150.6770341309695,-33.72288617408639,1,27
150.67703476836056,-33.722885831316056,1,28
150.677035402542,-33.722885481422146,1,29
150.67703602442137,-33.72288512967005,1,30
150.67703665288545,-33.722884765377586,1,31
150.67703727837485,-33.72288439388379,1,32
150.6770378913871,-33.722884021002486,1,33
150.67703851017072,-33.72288363555263,1,34
150.67703912507912,-33.72288324320739,1,35
150.67703972675446,-33.722882850004865,1,36
150.6770403332666,-33.722882444045474,1,37
150.67704093541374,-33.72288203125987,1,38
150.67704152432515,-33.72288161800441,1,39
150.67704211786503,-33.72288119180956,1,40
150.6770427070121,-33.72288075892426,1,41
150.6770432828881,-33.722880325985656,1,42
150.67704386264478,-33.72287987991716,1,43
150.67704443715957,-33.72287942731422,1,44
150.67704499764503,-33.722878975219174,1,45
150.67704556082555,-33.722878510105645,1,46
150.67704611799556,-33.7228780389267,1,47
150.67704666088198,-33.72287756893339,1,48
150.6770472058706,-33.72287708589133,1,49
150.67704774461586,-33.722876596847705,1,50
150.6770482691132,-33.72287610923786,1,51
150.67704879509776,-33.72287560836448,1,52
150.67704931435793,-33.72287510173994,1,53
150.6770498190276,-33.722874597277055,1,54
150.67705032408645,-33.722874079920594,1,55
150.67705082152253,-33.72287355747829,1,56
150.67705130385457,-33.72287303804775,1,57
150.67705178564785,-33.722872506130386,1,58
150.6770522596959,-33.72287196988514,1,59
150.67705271968754,-33.722871438073,1,60
150.6770531806624,-33.72287089567415,1,61
150.67705363673434,-33.72287035184814,1,62
150.67705408289166,-33.72286981640017,1,63
150.67705453352784,-33.722869274047255,1,64
150.67705498240431,-33.722868733588655,1,65
150.67705542312325,-33.72286820345418,1,66
150.67705586943617,-33.72286766798956,1,67
150.67705631518209,-33.72286713562084,1,68
150.67705675431264,-33.72286661450614,1,69
150.67705720071714,-33.72286608899717,1,70
150.67705764819104,-33.7228655670093,1,71
150.6770580907011,-33.72286505643708,1,72
150.6770585423676,-33.72286454207534,1,73
150.67705899725416,-33.722864032065885,1,74
150.6770594494457,-33.72286353449485,1,75
150.67705991333273,-33.722863034697696,1,76
150.67706038249491,-33.72286254044716,1,77
150.67706085015405,-33.72286205908744,1,78
150.67706133072343,-33.72286157596335,1,79
150.6770618175496,-33.72286109834577,1,80
150.67706230384522,-33.722860633275445,1,81
150.67706280493238,-33.7228601666759,1,82
